z,mu
0.01,32.95388698
0.012,33.87900347
0.014,33.84214074
0.016,34.11856704
0.019,34.59344598
0.023,34.93902653
0.026,35.25209633
0.031,35.74850165
0.037,36.06978761
0.043,36.43457047
0.051,36.65111059
0.06,37.15801411
0.07,37.43017325
0.082,37.95661635
0.097,38.25325404
0.114,38.61286934
0.134,39.06785071
0.158,39.3414019
0.186,39.79214362
0.218,40.1565346
0.257,40.56495606
0.302,40.90528778
0.355,41.42141744
0.418,41.79092346
0.491,42.23146107
0.578,42.61704707
0.679,43.05273149
0.799,43.50415083
0.94,43.97257341
1.105,44.51408758
1.3,44.82186746
